date,type,fvg_size_pips,rsi_at_entry,atr_at_entry,momentum_ratio,news_bias,LABEL_WIN
2004-07-21 14:00:00,0,0.7,29.59,1.03,2.46,0,1
2004-07-29 17:00:00,0,0.3,54.29,1.49,2.55,0,1
2004-08-24 16:00:00,1,0.5,34.89,1.3,1.87,0,1
2004-08-20 10:00:00,1,0.3,49.98,0.56,1.29,0,0
2004-08-23 16:00:00,1,1.5,43.04,0.82,8.82,0,0
2004-09-29 17:00:00,1,1.2,61.19,1.06,3.01,0,1
2004-11-09 15:00:00,1,0.4,56.16,0.79,2.36,0,1
2004-11-15 16:00:00,1,0.8,38.04,0.85,3.28,0,1
2004-12-08 08:00:00,1,0.3,19.69,1.04,3.33,0,0
2004-11-30 01:00:00,1,0.1,51.03,1.08,3.62,0,0
2004-12-13 19:00:00,0,0.6,61.53,1.24,1.48,0,1
2004-12-29 14:00:00,1,0.3,17.68,0.59,1.39,0,0
2005-01-10 09:00:00,0,3.7,54.37,0.76,4.36,0,0
2005-01-12 14:00:00,0,0.9,65.28,0.81,1.68,0,0
2005-02-17 17:00:00,1,0.3,64.01,0.96,1.21,0,1
2005-02-24 01:00:00,1,0.4,51.69,1.04,2.43,0,1
2005-03-01 16:00:00,1,1.0,27.34,0.92,6.46,0,0
2005-03-10 11:00:00,1,0.8,43.88,0.77,1.97,0,1
2005-04-20 17:00:00,1,0.7,70.06,1.1,1.22,0,0
2005-06-13 03:00:00,1,2.2,53.98,1.11,5.82,0,1
2005-07-14 15:00:00,0,0.5,50.06,0.62,4.44,0,1
2005-08-17 17:00:00,1,0.3,22.06,1.09,1.84,0,0
2005-08-29 18:00:00,0,0.6,44.1,0.91,1.2,0,1
2005-08-31 14:00:00,0,0.7,45.24,0.69,1.51,0,0
2005-09-22 12:00:00,1,0.7,60.59,1.17,1.64,0,1
2005-09-26 13:00:00,1,0.2,39.23,0.86,1.12,0,1
2005-09-27 16:00:00,1,1.0,37.73,1.16,3.15,0,0
2005-10-31 16:00:00,1,0.5,24.14,1.14,1.38,0,0
2005-10-28 14:00:00,1,0.1,35.69,0.68,1.49,0,0
2005-11-08 15:00:00,0,4.4,74.44,0.83,8.77,0,0
2005-11-15 17:00:00,1,1.3,51.87,0.89,3.04,0,1
2005-11-18 15:00:00,1,0.1,51.87,1.41,1.18,0,1
2005-11-28 17:00:00,1,0.1,63.46,1.91,1.19,0,0
2005-12-14 19:00:00,1,1.2,26.67,2.35,1.68,0,0
2005-12-14 16:00:00,1,0.2,35.87,1.86,1.35,0,1
2005-12-16 14:00:00,0,2.0,59.44,2.58,1.65,0,1
2006-01-11 15:00:00,1,1.0,55.39,1.85,1.27,0,1
2006-01-12 23:00:00,1,0.4,45.24,1.68,1.75,0,1
2006-01-17 18:00:00,1,2.5,57.45,2.61,1.52,0,0
2006-01-18 08:00:00,1,1.2,39.22,2.62,1.03,0,0
2006-01-25 16:00:00,1,2.4,54.78,1.79,1.46,0,1
2006-02-06 18:00:00,1,1.4,48.48,1.39,3.39,0,0
2006-02-17 12:00:00,0,0.2,64.04,1.42,1.22,0,0
2006-03-07 19:00:00,0,1.0,36.23,2.1,2.6,0,1
2006-03-16 16:00:00,1,0.5,39.97,1.7,1.02,0,0
2006-03-17 02:00:00,1,1.5,53.21,2.14,1.71,0,0
2006-04-04 14:00:00,1,1.5,55.62,1.38,1.21,0,0
2006-04-20 16:00:00,1,2.2,28.75,4.84,1.75,0,0
2006-04-27 12:00:00,1,1.4,39.31,2.29,3.44,0,0
2006-04-27 19:00:00,1,3.1,44.52,4.02,1.43,0,1
2006-05-10 14:00:00,1,0.5,50.6,1.81,1.34,0,0
2006-05-17 17:00:00,1,7.5,37.11,6.52,2.23,0,0
2006-06-05 17:00:00,0,0.7,58.26,2.35,1.96,0,1
2006-06-23 18:00:00,0,1.0,52.33,3.29,1.15,0,0
2006-06-29 16:00:00,0,4.0,71.87,1.68,2.33,0,0
2006-07-19 11:00:00,1,2.5,28.5,2.75,1.65,0,0
2006-07-31 16:00:00,1,0.5,43.74,2.65,3.8,0,1
2006-08-02 18:00:00,1,1.3,54.72,2.98,3.01,0,1
2006-08-21 23:00:00,0,3.1,73.66,1.89,3.96,0,1
2006-09-26 02:00:00,0,0.7,61.47,2.8,4.3,0,1
2006-09-22 02:00:00,0,0.4,67.45,2.55,1.22,0,0
2006-10-05 12:00:00,0,3.0,53.38,2.28,1.62,0,0
2006-10-11 16:00:00,0,2.4,65.63,2.02,2.17,0,0
2006-10-11 19:00:00,0,0.7,44.72,2.61,1.14,0,0
2006-10-31 19:00:00,1,1.0,56.57,2.59,1.95,0,1
2006-11-15 12:00:00,1,0.5,29.64,1.33,1.38,0,0
2006-12-06 19:00:00,1,11.3,26.31,2.54,5.89,0,0
2006-12-08 14:00:00,0,0.4,63.29,1.44,1.12,0,0
2007-01-26 12:00:00,1,3.0,32.47,1.29,1.65,-2,1
2007-02-02 15:00:00,1,0.1,31.21,1.93,4.35,0,0
2007-02-08 12:00:00,1,0.5,36.34,0.99,1.39,0,0
2007-02-20 16:00:00,1,1.1,16.96,2.17,4.52,0,0
2007-02-16 08:00:00,1,0.7,41.9,1.2,1.04,1,0
2007-03-12 19:00:00,0,0.4,47.97,2.31,1.31,0,0
2007-04-17 08:00:00,1,1.5,51.07,1.63,1.07,1,0
2007-05-04 14:00:00,0,1.6,80.53,1.1,3.5,1,0
2007-04-30 14:00:00,0,1.0,53.67,1.3,2.01,1,1
2007-05-08 20:00:00,1,0.3,43.06,1.64,1.46,0,0
2007-05-15 14:00:00,0,0.2,55.44,1.55,1.48,1,0
2007-05-31 07:00:00,0,1.1,61.42,0.87,2.33,1,0
2007-07-05 16:00:00,1,1.6,20.24,1.26,2.21,-1,0
2007-07-06 22:00:00,0,2.6,71.57,1.91,5.72,-1,0
2007-07-13 14:00:00,1,0.2,57.11,0.9,1.75,1,1
2007-07-26 14:00:00,1,3.6,20.67,1.63,4.45,2,0
2007-07-25 11:00:00,1,1.6,35.64,1.27,7.13,1,0
2007-08-09 14:00:00,1,0.4,17.56,1.79,2.05,0,0
2007-08-07 15:00:00,1,0.7,40.55,1.1,1.37,0,1
2007-10-01 18:00:00,1,1.1,63.2,2.25,1.62,1,0
2007-10-05 14:00:00,1,5.5,39.19,1.76,2.94,-1,1
2007-11-28 06:00:00,1,0.1,31.07,3.69,5.38,2,0
2007-12-03 17:00:00,0,2.9,48.92,3.26,1.33,-1,0
2007-12-13 16:00:00,1,5.4,22.29,3.19,2.3,-3,0
2008-01-16 16:00:00,1,6.2,34.3,6.34,2.01,-1,0
2008-01-21 09:00:00,1,4.8,40.1,3.24,2.15,0,0
2008-03-10 13:00:00,1,1.2,30.76,3.24,4.35,0,1
2008-03-25 03:00:00,0,3.1,58.3,5.11,2.27,1,0
2008-04-08 02:00:00,0,0.2,62.68,3.84,1.14,1,1
2008-04-18 13:00:00,1,1.6,23.77,3.44,1.02,0,0
2008-04-24 12:00:00,0,1.0,38.44,2.84,2.23,0,1
2008-04-30 14:00:00,0,3.1,47.79,3.12,2.63,-2,0
2008-06-02 17:00:00,0,1.0,65.76,4.24,1.01,-1,1
2008-06-09 14:00:00,1,0.5,52.62,3.04,2.23,-1,0
2008-06-16 14:00:00,0,4.9,72.81,3.68,1.83,-1,0
2008-06-23 14:00:00,1,7.9,21.65,4.05,2.53,0,0
2008-07-16 17:00:00,1,2.7,38.33,4.89,3.51,-1,0
2008-07-17 20:00:00,1,4.0,38.24,6.1,3.29,-1,0
2008-08-27 14:00:00,1,1.4,54.99,3.07,2.23,-1,0
2008-09-17 15:00:00,0,6.5,71.35,5.01,3.81,1,0
2008-09-15 01:00:00,0,1.5,76.29,5.85,3.42,0,0
2008-10-07 11:00:00,0,5.3,74.06,6.17,1.99,0,0
2008-10-09 15:00:00,1,7.6,41.43,6.69,3.56,-1,1
2008-10-24 17:00:00,0,1.7,58.51,10.66,1.36,-1,0
2008-12-02 04:00:00,1,4.6,27.55,6.12,1.03,0,0
2008-12-12 11:00:00,1,0.7,45.58,4.48,1.12,-2,1
2008-12-17 13:00:00,1,2.7,59.19,3.88,1.01,0,1
2009-01-05 09:00:00,1,10.1,40.52,4.7,2.19,0,0
2009-01-08 15:00:00,0,0.4,60.83,5.36,4.39,1,0
2009-01-21 14:00:00,1,4.1,51.59,4.41,3.81,0,0
2009-02-04 18:00:00,1,1.7,49.24,4.64,2.77,-2,1
2009-02-06 15:00:00,1,2.3,50.31,3.99,1.77,0,0
2009-02-24 16:00:00,1,1.0,34.22,5.56,1.21,1,0
2009-03-04 14:00:00,0,1.0,53.95,4.44,3.07,0,1
2009-04-01 14:00:00,0,4.9,68.0,3.04,2.53,-1,1
2009-04-01 18:00:00,0,0.8,57.75,3.99,1.42,-1,1
2009-04-07 05:00:00,0,3.8,48.22,4.08,1.72,0,0
2009-04-09 10:00:00,0,1.2,55.62,2.15,1.02,0,0
2009-04-09 16:00:00,0,0.5,45.98,3.49,3.85,0,0
2009-04-14 01:00:00,0,1.23,62.6,3.4,1.35,3,1
2009-04-17 14:00:00,0,1.2,39.39,2.71,1.71,0,1
2009-04-22 14:00:00,0,1.1,54.07,2.32,1.3,0,0
2009-04-28 02:00:00,1,6.58,26.74,4.1,4.4,-1,1
2009-05-05 17:00:00,1,6.76,52.59,3.6,4.37,-1,0
2009-06-11 19:00:00,0,6.62,57.15,4.61,2.34,-1,1
2009-06-17 17:00:00,0,1.72,52.63,3.14,1.39,1,0
2009-07-07 13:00:00,0,2.23,62.15,2.39,1.77,0,1
2009-07-07 19:00:00,0,2.38,55.22,3.28,1.32,0,1
2009-07-28 17:00:00,1,2.15,19.27,3.27,3.24,1,1
2009-07-23 22:00:00,1,2.05,40.93,2.9,1.87,-2,1
2009-07-23 19:00:00,1,0.26,49.38,2.73,1.56,-2,0
2009-09-04 20:00:00,1,1.31,56.6,3.48,1.08,-2,1
2009-09-14 08:00:00,1,0.53,41.7,3.26,1.07,0,0
2009-09-18 16:00:00,1,1.63,44.65,2.84,1.04,0,0
2009-09-24 16:00:00,1,0.48,32.51,4.25,1.4,2,0
2009-09-29 15:00:00,0,0.53,49.31,2.46,1.1,1,0
2009-10-13 20:00:00,1,1.39,49.88,4.62,1.42,0,0
2009-10-26 17:00:00,1,2.89,28.83,3.33,1.72,0,0
2009-10-20 17:00:00,1,0.24,37.6,3.41,1.04,2,0
2009-10-22 15:00:00,1,1.05,40.6,2.89,3.22,-1,1
2009-11-02 10:00:00,0,3.7,73.58,2.72,2.59,-2,0
2009-11-02 09:00:00,0,1.72,69.04,2.55,1.28,-2,0
2009-11-20 13:00:00,1,2.73,40.05,2.72,1.28,0,1
2009-11-27 06:00:00,1,4.08,33.37,2.99,2.01,0,0
2009-11-27 11:00:00,1,0.06,38.44,7.46,2.26,0,0
2009-11-30 06:00:00,1,11.19,45.1,5.81,1.41,-1,1
2009-12-10 02:00:00,0,13.15,48.76,6.29,2.77,-2,1
2009-12-16 15:00:00,0,7.07,68.16,3.79,4.31,1,1
2009-12-16 08:00:00,0,0.84,51.85,3.05,1.1,1,1
2010-01-04 10:00:00,0,0.19,76.66,3.81,4.69,-1,0
2009-12-23 18:00:00,0,0.35,60.19,3.66,1.26,1,1
2009-12-30 17:00:00,0,2.23,47.08,3.26,1.46,-1,0
2010-02-02 11:00:00,0,0.82,75.24,3.55,1.45,-1,0
2010-02-05 14:00:00,0,5.67,42.32,4.91,2.15,2,1
2010-02-11 03:00:00,0,0.68,58.42,4.68,1.64,1,0
2010-02-23 16:00:00,1,1.78,36.66,4.32,1.23,1,0
2010-02-26 18:00:00,1,2.0,59.0,3.89,2.3,0,1
2010-03-29 07:00:00,0,0.11,66.13,3.45,1.53,0,0
2010-04-12 20:00:00,1,1.49,39.29,3.62,3.08,0,0
2010-04-16 15:00:00,1,0.71,34.29,2.82,1.02,0,0
2010-04-14 15:00:00,1,3.0,46.77,2.63,1.06,0,0
2010-04-16 08:00:00,1,1.22,39.76,2.29,2.82,0,0
2010-04-28 22:00:00,1,0.67,52.11,4.1,2.49,0,1
2010-05-04 16:00:00,1,5.07,36.33,3.87,3.67,-1,0
2010-05-10 01:00:00,1,4.12,50.09,6.7,1.78,0,0
2010-06-03 18:00:00,1,2.47,22.65,3.9,1.91,1,0
2010-06-02 18:00:00,1,0.43,50.5,3.42,2.18,-1,0
2010-06-21 21:00:00,1,1.02,23.83,5.41,1.9,0,1
2010-06-21 18:00:00,1,8.89,31.38,4.61,5.86,0,0
2010-06-28 17:00:00,1,2.3,30.43,4.78,3.05,0,0
2010-07-14 19:00:00,0,1.33,44.11,3.41,1.66,1,0
2010-08-20 14:00:00,1,6.38,37.19,2.06,1.18,0,0
2010-09-03 17:00:00,1,1.06,51.21,2.99,3.42,0,0
2010-09-09 17:00:00,1,7.53,29.1,3.44,7.7,0,0
2010-10-26 03:00:00,0,4.23,57.72,3.49,2.91,-1,1
2010-10-29 13:00:00,0,0.1,65.45,3.24,1.01,1,0
2010-11-03 16:00:00,1,3.7,26.78,5.4,3.26,-2,0
2010-11-09 21:00:00,1,3.33,31.71,7.9,2.81,0,1
2010-11-09 21:00:00,1,4.82,31.71,7.9,2.24,0,1
2010-11-09 14:00:00,1,4.82,61.72,4.29,1.79,0,0
2010-11-10 01:00:00,1,2.6,43.41,7.74,1.28,0,0
2010-11-26 12:00:00,1,10.45,23.31,2.67,4.09,0,0
2011-01-04 15:00:00,1,1.36,17.43,4.27,1.67,0,0
2010-12-30 16:00:00,1,1.8,39.04,2.5,2.59,0,1
2011-02-11 18:00:00,1,5.07,40.63,3.9,1.76,0,1
2011-03-14 07:00:00,0,0.84,57.21,5.05,1.1,0,0
2011-03-30 18:00:00,0,4.35,56.22,4.35,1.18,1,0
2011-05-05 17:00:00,1,0.65,28.15,7.97,5.22,-1,0
2011-05-18 16:00:00,0,0.15,60.77,4.1,1.49,0,0
2011-06-10 15:00:00,1,2.55,25.46,2.85,1.3,0,0
2011-06-06 20:00:00,1,1.2,51.77,3.67,3.31,0,0
2011-06-23 04:00:00,1,1.71,45.18,3.72,1.63,-2,0
2011-07-18 08:00:00,1,1.56,68.27,9.81,6.06,1,1
2011-08-01 20:00:00,1,2.94,52.25,4.69,2.42,1,1
2011-08-09 14:00:00,1,2.32,61.81,13.32,1.08,0,0
2011-08-18 02:00:00,1,3.27,51.69,5.17,1.81,0,1
2011-08-24 17:00:00,1,0.13,21.54,12.59,1.03,-1,0
2011-08-23 15:00:00,1,8.66,43.15,9.64,2.17,1,0
2011-09-19 01:00:00,0,3.17,69.21,10.81,1.06,0,0
2011-11-08 13:00:00,1,2.58,56.23,3.85,1.4,0,0
2011-11-09 01:00:00,1,0.24,51.26,7.06,1.2,0,0
2011-11-18 16:00:00,0,3.89,36.42,6.77,1.26,0,1
2011-12-08 16:00:00,1,8.67,31.18,6.49,2.84,1,0
2011-12-13 12:00:00,0,2.9,45.82,5.1,1.8,2,0
2011-12-19 15:00:00,0,0.99,63.94,6.53,1.45,0,1
2012-01-03 06:00:00,0,3.12,70.59,6.36,3.21,-1,0
2012-01-03 02:00:00,0,7.15,61.23,6.88,1.03,-1,0
2012-01-13 12:00:00,1,2.11,43.4,4.32,1.15,0,0
2012-01-18 03:00:00,1,6.66,39.27,4.91,4.37,0,1
2012-01-25 16:00:00,1,2.61,23.29,3.82,2.91,1,1
2012-02-03 16:00:00,1,5.73,24.9,4.9,1.12,-1,0
2012-02-09 20:00:00,1,3.36,43.82,6.99,3.34,1,0
2012-03-26 15:00:00,0,2.19,70.58,4.83,1.01,1,0
2012-03-16 17:00:00,0,1.21,51.51,6.1,1.42,1,1
2012-03-26 15:00:00,0,0.47,70.58,4.83,1.19,1,0
2012-03-29 15:00:00,0,2.43,46.3,3.52,1.96,-1,1
2012-03-29 20:00:00,0,2.55,40.73,5.48,1.77,-1,0
2012-04-16 07:00:00,1,12.87,25.26,4.56,2.75,-1,0
2012-04-13 20:00:00,1,11.53,29.83,5.19,6.24,1,0
2012-04-13 23:00:00,1,0.11,34.88,5.42,2.03,1,0
2012-04-25 14:00:00,0,0.58,55.32,2.13,2.99,1,1
2012-05-22 12:00:00,1,4.52,27.28,3.35,1.01,0,1
2012-05-23 21:00:00,0,8.04,50.73,8.3,4.16,-1,0
2012-06-01 15:00:00,0,16.29,68.4,7.11,4.52,1,0
2012-06-01 15:00:00,0,0.49,68.4,7.11,1.56,1,0
2012-06-06 21:00:00,1,6.93,37.26,5.94,2.3,0,0
2012-06-08 13:00:00,1,2.07,38.04,6.95,1.2,1,1
2012-06-12 15:00:00,0,4.07,60.63,4.31,1.38,0,0
2012-06-13 19:00:00,1,3.76,56.07,5.17,2.43,3,1
2012-07-13 16:00:00,0,4.64,76.6,4.51,1.25,0,1
2012-07-17 13:00:00,1,0.12,54.41,2.88,1.32,-1,0
2012-08-10 10:00:00,1,1.98,35.96,2.28,3.28,0,1
2012-08-15 15:00:00,0,0.75,46.79,3.66,5.11,2,0
2012-09-10 16:00:00,1,0.03,55.14,2.9,7.28,0,0
2012-09-25 12:00:00,1,1.48,48.25,2.79,1.04,-1,1
2012-09-27 15:00:00,0,3.32,62.67,3.5,1.39,3,0
2012-10-26 16:00:00,0,4.01,60.87,3.75,1.52,-1,0
2012-10-30 10:00:00,0,1.71,56.13,2.62,1.11,0,1
2012-11-13 19:00:00,1,0.31,48.25,3.98,1.43,0,0
2012-11-16 15:00:00,0,3.0,43.71,2.79,1.31,0,0
2012-12-12 04:00:00,0,0.55,56.81,2.52,1.1,0,0
2012-12-17 15:00:00,0,1.7,59.04,2.99,1.26,0,0
2012-12-27 15:00:00,0,0.98,43.7,2.35,1.35,3,1
2012-12-28 19:00:00,0,0.91,40.72,2.71,1.75,-1,0
2013-01-11 16:00:00,1,0.63,34.49,4.16,4.45,1,0
2013-01-24 02:00:00,1,10.29,21.5,2.76,1.38,1,0
2013-01-22 22:00:00,1,0.3,45.95,2.9,1.47,1,0
2013-02-07 16:00:00,1,0.92,30.38,3.43,2.06,-1,1
2013-02-07 16:00:00,1,1.26,30.38,3.43,2.67,-1,0
2013-03-06 03:00:00,0,3.27,51.75,3.46,2.52,-1,1
2013-03-06 20:00:00,0,0.97,50.05,4.45,1.19,-1,0
2013-03-18 03:00:00,1,8.01,55.91,4.62,3.96,0,1
2013-03-20 20:00:00,1,4.16,42.45,3.09,2.88,0,1
2013-03-28 16:00:00,1,1.79,30.18,2.49,2.51,-1,0
2013-04-05 15:00:00,0,0.73,73.94,4.09,1.44,1,1
2013-04-30 11:00:00,1,2.56,50.02,5.01,2.29,-1,0
2013-05-09 21:00:00,1,7.85,33.33,5.16,1.64,1,0
2013-05-22 17:00:00,0,12.59,42.0,9.46,2.43,1,1
2013-05-28 18:00:00,0,6.08,54.24,5.85,3.01,-1,0
2013-05-31 16:00:00,1,4.07,31.93,5.32,2.29,0,0
2013-06-04 14:00:00,1,5.0,34.94,3.52,4.47,-1,0
2013-07-01 21:00:00,0,0.8,64.1,6.96,1.18,-1,0
2013-07-11 01:00:00,1,10.8,79.65,8.35,1.09,-1,1
2013-07-17 18:00:00,1,0.79,29.75,6.01,2.07,1,1
2013-08-08 17:00:00,0,8.55,74.68,4.86,3.1,1,0
2013-08-15 15:00:00,1,2.23,31.05,5.24,2.15,2,1
2013-08-21 12:00:00,1,0.93,41.84,3.46,1.07,-1,1
2013-09-02 01:00:00,1,17.87,23.98,5.3,6.72,0,1
2013-09-02 04:00:00,1,2.69,41.44,5.79,1.09,0,0
2013-09-24 21:00:00,0,1.04,53.25,5.82,3.26,1,0
2013-10-08 20:00:00,1,4.36,52.8,4.14,1.69,0,0
2013-10-29 09:00:00,1,0.32,37.19,3.77,2.15,3,1
2013-11-21 19:00:00,0,4.64,39.17,3.91,2.3,2,1
2013-12-12 16:00:00,1,0.63,20.66,4.75,1.06,-3,0
2014-01-02 09:00:00,0,5.63,70.92,7.03,2.13,-2,0
2013-12-23 14:00:00,0,1.47,49.12,3.54,2.36,0,0
2013-12-31 17:00:00,0,1.37,58.74,5.58,1.47,-1,0
2014-01-06 07:00:00,1,5.91,60.73,3.82,1.38,1,0
2014-01-15 18:00:00,1,1.07,44.09,2.98,1.47,1,1
2014-01-21 14:00:00,1,5.0,29.32,2.5,2.65,0,0
2014-01-30 12:00:00,1,1.44,39.0,2.98,1.89,1,0
2014-02-03 14:00:00,0,6.3,55.75,2.45,1.56,1,0
2014-02-25 03:00:00,1,1.48,54.9,3.27,1.09,1,1
2014-02-26 20:00:00,1,0.6,37.02,4.1,1.05,-1,0
2014-02-28 11:00:00,1,0.59,40.15,2.54,2.77,1,1
2014-03-19 10:00:00,1,8.58,29.86,2.76,2.42,0,0
2014-03-18 14:00:00,1,1.02,26.45,3.72,1.43,0,0
2014-03-14 06:00:00,1,0.65,51.31,3.43,1.42,2,1
2014-04-11 16:00:00,1,1.27,51.49,3.12,2.93,-2,1
2014-04-15 04:00:00,1,0.79,41.42,2.78,1.19,-1,0
2014-04-23 13:00:00,0,3.77,56.79,2.14,3.28,1,1
2014-04-28 20:00:00,1,0.74,47.9,2.98,1.15,-1,0
2014-05-07 19:00:00,1,7.36,17.99,3.8,3.36,0,0
2014-05-12 04:00:00,0,4.29,48.2,3.63,1.84,0,0
2014-06-18 13:00:00,1,0.5,55.62,1.78,1.01,0,1
2014-07-03 15:00:00,1,0.01,25.8,2.9,2.33,-1,1
2014-07-21 17:00:00,0,0.94,50.88,2.53,1.36,0,1
2014-08-08 15:00:00,1,3.77,42.94,3.34,1.18,0,0
2014-08-22 17:00:00,0,1.21,38.85,2.12,1.71,0,1
2014-08-27 13:00:00,0,2.5,55.39,1.77,1.54,0,0
2014-09-23 13:00:00,0,2.7,76.61,3.48,5.64,0,1
2014-10-23 14:00:00,1,3.49,29.3,2.31,1.8,-1,0
2014-12-15 22:00:00,1,3.13,21.98,5.79,1.95,0,0
2014-12-16 14:00:00,0,1.98,64.6,5.14,1.58,1,1
2014-12-18 12:00:00,0,0.98,70.38,4.37,1.84,2,1
2014-12-24 15:00:00,0,0.82,39.74,2.03,1.28,1,1
2014-12-31 17:00:00,1,1.26,26.7,3.14,6.97,-1,0
2015-02-13 15:00:00,0,0.92,56.27,2.66,1.35,1,0
2015-02-19 11:00:00,0,2.17,62.41,3.47,3.71,2,1
